,Query,Text,Tweet Sentiment,Created At,ID,Hashtags,User Name,Retweet Count,Favorite Count,User Description,User Sentiment,Follower Count,Verified?,Replies,Reply Sentiment
7,acab,"@audiesays_ACAB no, i absolutely loved it! i thought it was so cute and clever 🥺 oh my gosh, you’re the cutest bub… https://t.co/NAdkg98KjF",0.947,2020-06-16 02:36:20,1272719631585873926,[],journey ☾,0,1,headfirst over halos,0.947,90,False,['@YAWNINGCREEK 👉🏽👈🏽 i do think pockets can be quite cozy'],0.0
8,acab,PPB just remembered it was Pride Month. Have these fuckers got some balls. Bet these assholes would paint their CS… https://t.co/fWl0apmx09,-0.743,2020-06-16 02:36:02,1272719554112663552,[],Abe Reviate,4,10,"Staunchly antifascist by birthright. 
Protector of oppressed by morals.

Black Lives Matter.",-0.743,879,False,"[""@AbeReviate If we could get them to re-supply with rainbow colored CS gas and get protesters some more lasers that'… https://t.co/4bvVw6rctB"", '@AbeReviate Hey, welcome to the Progressive Liberal Northwest! (satire article, since it IS hard to tell.) https://t.co/3FU15EXFo0']",0.1063
9,acab,"I feel like I can’t have an opinion without being attacked over it, I don’t like ACAB and I don’t like BlueLM I think both are shitty",0.6575,2020-06-16 02:36:01,1272719548827856897,[],wadu,0,1,"RIP12/24/12RIP, 6’2 Tight End, NB-Any pronoun telegram is:@Ryzza_a right winged libertarian",0.6575,182,False,['@wwaadduu Me too tbh'],0.0
10,acab,"So, Anarcute! Everyone likes cute animals and everyone loves revolution.

Anarcute has both and is similar to Tonig… https://t.co/HPZgtJoRof",0.8687,2020-06-16 02:34:04,1272719058031513600,[],THIS PROTO DESTROYS FASCISTS ☭🏳️‍🌈,1,1,"Beating up ghosts and Nazis since 2016 / Any pronouns / Fursona: AX

Comissions open over Patreon.",0.8687,95,False,"[""Tonight we Riot, it came not so long ago on switch, it's a tactical beat em up, you play as the workers of the worl… https://t.co/BAjNJ4UcXt""]",-0.296
11,acab,You want to support black lives and fight against police racism?  You MUST (and I mean MUST) believe in acab am I r… https://t.co/bTmEqtnzbW,-0.5719,2020-06-16 02:33:43,1272718971544862721,[],You may call me Goat-Sama,0,0,"Aspie chick | Sleeping disorder | Rages a lot | Pretty french weeb

Likes : manga, vocaloid, Ace Attorney, TTGL

Wants to draw more and make video games

#BLM",-0.5719,52,False,['I’m sick and tired of seeing some fucks forcing people  to choose a clan. You guys want to end racism but you can’t… https://t.co/pohJPubZfc'],-0.7615
12,acab,Philly! Next Saturday! Care not cops! Abolish the police and prisons and take their resources to take care of one a… https://t.co/3mjhKKc8EQ,0.8061,2020-06-16 02:32:50,1272718749444067330,[],insurrection summer,4,17,"This is probably a bad idea.

Co-host of Cerise and Vicky Rank the Movies @CeriseandVicky

Author In Defense of Looting, Bold Type, August 2020.",0.8061,3668,False,"['@Vicky_ACAB YES, ty for boosting this']",0.8143
13,acab,"@put0ypendej0 @Nicosaesthetics She left if you remember, even she was like acab.",0.3612,2020-06-16 02:32:26,1272718647165808640,[],oh girl nooo,0,0,"26 yrs, living in California and figuring out wtf I’m doing with my life.                    FYI it’s NSFW up in here",0.3612,42,False,['@meepamena @Nicosaesthetics Was she? She became the first cop and when it came down it she left rather than be held… https://t.co/VPj49XRElD'],0.0
14,acab,I just made homemade lemon sorbet from my lemon tree also defund the police and acab https://t.co/4360Ts70U5,0.0,2020-06-16 02:31:55,1272718517175906311,[],Matt Cohen,0,9,I write movies. I am the secret leader of Antifa. I have a puppy named Abe. #HellmuttForever #BlackLivesMatter #DefundThePolice,0.0,11195,False,"['@CamelToad Here we see Matt’s backyard doing its best Springfield impression 😎', '@CamelToad Chicagoan here. Just... fuck everything about how incredible California is. I have a lot of family out w… https://t.co/1j37PSVQl7', '@CamelToad Was just thinking I had not seen you active. Glad you’re good. That looks delicious']",0.3705
15,acab,hi twitter. i’m non binary. they/them pronouns pls :) that is all move on now. BLM &amp; ACAB forever don’t forget it :),0.6597,2020-06-16 02:31:07,1272718317996965888,[],ash,0,8,♊️♏️♎️,0.6597,126,False,"['@4n15t0n My most favorite person! I love u', '@4n15t0n Yay! :’)', '@4n15t0n i love u!!!!!']",0.7166333333333332
16,acab,a man at Injustice Park plays an upright piano emblazoned with “Defund the police and invest in human rights” on th… https://t.co/k0r6ESFi38,-0.4019,2020-06-16 02:30:53,1272718258311819264,[],dirt fart,1,1,the rose quartz rebellion // aspiring showrunner // info tech,-0.4019,87,False,['an occupier is painting more on the back as he plays- “Say her name” and “BLM”'],0.25
17,acab,I am impressed that ACAB makes my local newspaper’s extremely flawed infographic have any kind of relevance or accu… https://t.co/4wEb20Vo4u,-0.0754,2020-06-16 02:30:45,1272718224161820672,[],Brian 🔜 Stormblood,0,2,"Basically your くそオヤジ. Tweets here do not represent my employer. World's #1 Supporter @YsbrydGames (N1RV Ann-A, WORLD OF HORROR). I stan laksa & negronis. He/him",-0.0754,1499,False,['@briankwek Brian help why is the world reading the straits times now what is happening.'],0.4019
18,acab,"i admire Obama’s charisma, Bernie’s honesty, AOC’s relatability, Yang’s hopefulness, etc.

but just like it’s “ACAB… https://t.co/D6kFq8Nl1z",0.802,2020-06-16 02:30:25,1272718139504029696,[],Victor Eremita,4,4,"welcome welcome welcome to the desert of the real. 
here lies mysteries, not problems.
here, your dreams are not delusions.
pls like, subscribe, then kys.",0.802,357,False,"['the major effort of government is not to change a situation, but to seem to have done so. \nthis was, is, and always… https://t.co/Uyr7e5qExO']",0.0
19,acab,Gross my dad agrees with acab apparently.,-0.3182,2020-06-16 02:29:56,1272718021652602881,[],Paul,0,1,I'm just some autistic 19 year old aspiring game developer who likes to stream sometimes.,-0.3182,44,False,"['Literally brought up examples of good cops and somehow said ""well, cops quit when this cop did this""\n\nOk. So the co… https://t.co/COqiriwepY']",0.6124
20,acab,@babtownnews she’s PERFECT except for when she gave me a police cap and i had to change her catchphrase to acab for reparations,0.6633,2020-06-16 02:28:20,1272717618177175552,[],₍˄·͈༝·͈˄₎◞♡,0,1,༺♡༻ resident rep of ŤŔ4ȘĦ 🍑 / 🌷 weirdcore/kidcore/enchanted spooky forest faeriecore island vibes🐛🌟IRL lazy villager ☆ﾟ.*･｡  #BLACKLIVESMATTER #ACAB,0.6633,254,False,['@takobabie omg molly just gifted me a police cap and i was like oh honey no.....'],0.3612
21,acab,@bees_for_acab There's a MAP lesbian flag? Disgusting,-0.5267,2020-06-16 02:26:58,1272717271299960834,[],《■○Layla●□》,0,1,Need that eternal sleep》Amor fati》read pinned》Queer Black lives MATTER》,-0.5267,167,False,['@Howdy_Bitch_ sadly yes'],-0.0258
22,acab,Not my white male friend saying all lives matter but doesn’t mean the slogan he means everyone’s equal and I’m raci… https://t.co/dlto8zMTc6,0.2846,2020-06-16 02:26:42,1272717206351200262,[],Emo Emma™️ loves ev // ACAB,0,0,Can someone please tell me wtf is going on,0.2846,423,False,['I also need to get off twitter bc it’s giving me a bias opinion anyways k word men 🤩'],0.25
23,acab,"Liccardo actually says: ""We're not going to accept those attacks on any other member of our community.""

Apparently… https://t.co/DN48QsEMdq",-0.6229,2020-06-16 02:26:14,1272717088885366784,[],Silicon Valley DSA 🤖🌹,0,5,"Silicon Valley chapter of @DemSocialists • Branches: @SV_DSA_SJ, @SV_DSA_LP • https://t.co/BammZYjJ5o • info@siliconvalleydsa.org • DMs open!",-0.6229,6425,False,"[""Comment: I know defunding the police can sound like a radical demand. It's really not. When we have social services… https://t.co/ObUee5S9RL""]",0.25
24,acab,Brainstorming a radical take I like to call “ACAB is kinkshaming” that I think is really going to shake things up around here,0.1372,2020-06-16 02:25:31,1272716907179843584,[],Patrick Cosmos,0,5,Beyond the secret bogus world,0.1372,4385,False,['@veryimportant https://t.co/FpzQ83YDGs'],0.0
25,acab,@leftistDonald @HeirFordOne @mitchellvii Now this explanation I can get behind. That old tactics have roots in raci… https://t.co/jvyMxGgt9F,0.0,2020-06-16 02:25:27,1272716893325914112,[],The White Hispanic,0,0,"History Nerd, Latino, and Classical Liberal. Individualism over Collectivism. #NoGroupThink  

Inquiries: TheWhiteHispanic1979@gmail.com",0.0,182,False,"['@WhiteHispanic79 @HeirFordOne @mitchellvii Yes, communities need to be in charge of police. Not the other way around.', '@leftistDonald @HeirFordOne @mitchellvii People need to make sure we put in a proper Mayor and City Council that ca… https://t.co/GUTyKUv3gY']",0.36005
26,acab,"@girlcryush @bloomingtae @yongsundior @ImNotFamousTho @aaanokkk Ah, figures u have acab in ur bio. Automatic spec",0.0,2020-06-16 02:25:21,1272716866063081474,[],silva,0,0,"professional femboy, i hate minorities MAP😎",0.0,12,False,['@zanamanamaboo @girlcryush @bloomingtae @ImNotFamousTho @aaanokkk acab'],0.0
0,looting,"4-folks like James Clybourn, and the rest of his Democrat constituents, and Democrats senators alike thrive on this… https://t.co/CVRPxPrf7g",0.3612,2020-06-16 03:07:35,1272727496216231945,[],Dominick R Stazzone Jr.,0,0,"I’m on the Trump train headed to 1600 Pennsylvania Ave. for four more years, And I’m using this platform to get him reelected. #MAGA/KAG 2020 #HopeYouFollowMe",0.3612,2206,False,"['May I just say, what we are seeing in this moment in time,is no longer about George Floyd who was murdered right be… https://t.co/q6aEszVxCo']",-0.765
1,looting,2-Group of thugs hi jacks these peaceful protesters gatherings and begin looting and burning down the businesses of… https://t.co/J2mB9Wreyz,0.3182,2020-06-16 03:07:34,1272727491405385728,[],Dominick R Stazzone Jr.,0,0,"I’m on the Trump train headed to 1600 Pennsylvania Ave. for four more years, And I’m using this platform to get him reelected. #MAGA/KAG 2020 #HopeYouFollowMe",0.3182,2206,False,"['In which these thugs can promote their agenda, and their fight to try to gain power and bring the American nation a… https://t.co/4DEXJ7O9CX']",0.5267
2,looting,"I'm not sure how people fail to realize that income directly effects life. If you cut someone's income, they suffer… https://t.co/upwVInrfwk",-0.7623,2020-06-16 03:06:32,1272727228690739200,[],Artie 🇭🇰,0,3,trapish|streamer|cosplayer|composer for hire|turtle enthusiast|forehead eximus|my jawline has killed 17 people|19|NSFW|DM me I'm lonely|Why not?,-0.7623,985,False,"['@ArtemisLance ""But insurance""', '@ArtemisLance And the rona already hurt business, these riots were multiple nails in the coffin.']",-0.38585
3,looting,@Reverend_Ducati @jason_howerton That means when white republicans see black hordes looting cities it creates cogni… https://t.co/AOOft9NcIs,0.2732,2020-06-16 03:05:34,1272726986834747396,[],"Business, Society, and Data",0,0,"Exploring alternative paradigms to old ways of thinking about finance, business, and society.",0.2732,40,False,['@Reverend_Ducati @jason_howerton the pro black propaganda and the reality of the world they live in. One is Blexit.… https://t.co/zkNDK5OBVV'],-0.25
4,looting,"Black ppl.have done everything. Bitch,march, scream,riots,burn , looting BUT GOT NO WHERE Meanwile BLACK POLITICIAN… https://t.co/QHrGWQDEJr",-0.5993,2020-06-16 03:04:01,1272726595325751298,[],Wilfredo Bermudez,0,0,"dmvw35@hotmail.com

https://t.co/ptCZYpHYSA",-0.5993,24,False,"['After an estimated hundreds of black Tulsa residents were massacred in 1921, no arrests were made and there’s never… https://t.co/0nxE2d3Joz']",0.3412
5,looting,@EnrickScoots @shaun505 I don't see white people looting and burning down black-owned businesses either...... hmmn,0.0,2020-06-16 03:03:24,1272726441524953089,[],Worf's Beard,0,0,Just another son of Mogh. My voice is deeper than your soul.,0.0,4,False,['@WorfsBeard @EnrickScoots @shaun505 They are literally looking for white people for starting fires. Lol. But carry on.'],0.2263
6,looting,"seeing different fast food chains trending all evening, and it is not shootings or looting; people are arguing whic… https://t.co/bWkKIPnumv",-0.4588,2020-06-16 03:02:29,1272726213069594627,[],Barbarian Capital,0,2,Personal account. RT = look at this. Fave = bookmark. Stole avi from https://t.co/hVwp9JH9n0,-0.4588,34717,False,['@BarbarianCap Peep shake shack again. Cops poisoned with bleach in shakes via NYC store.'],-0.5994
7,looting,"@AOC With all the rioting, looting, arson and violence, I vote to give police more tanks!!!

Tell school boards to… https://t.co/pyM7C4RwH3",-0.7163,2020-06-16 03:02:05,1272726109071855616,[],Cole,0,3,"100% American patriotic male!!! Preparing to publish in multidisciplinary science journals for how simple life became complex life, and how life began on Earth.",-0.7163,4707,False,['@Cole44749821 @AOC Well said!'],0.3382
8,looting,@GinoKusa @CalebJHull @NYCMayor I agree with you.  It’s a shame the MSM keeps presenting the whole lot as peaceful… https://t.co/vbfPeHfcyO,-0.1531,2020-06-16 03:01:42,1272726013286457344,[],clarkarchery,0,0,im just here to shoot arrows,-0.1531,26,False,"['@GinoKusa @CalebJHull @NYCMayor The media needs to make a clear distinction between the peaceful protestors and rio… https://t.co/MPdsXdb7Vl', '@clarkarchery @CalebJHull @NYCMayor Thank you']",0.53075
9,looting,@Poppajames45 @michaelwright50 @Ed_McKay_Ind @SCOTUSblog Liberals looted and rioted in 2014-2016 just like they are… https://t.co/Ak59Uc5CTD,0.3612,2020-06-16 03:01:26,1272725946634842112,[],Calhoun,0,0,"Father, Husband, Conservative, Army Guard waaay long ago, IT person, lover of outdoors, hunter, fisherman",0.3612,539,False,"['@RCalh @michaelwright50 @Ed_McKay_Ind @SCOTUSblog No I don’t think so. However, you didn’t answer my question.']",-0.296
10,looting,"Black ppl.have done everything. Bitch,march, scream,riots,burn , looting BUT GOT NO WHERE Meanwile BLACK POLITICIAN… https://t.co/M8J3UQwxSi",-0.5993,2020-06-16 03:01:01,1272725843823874054,[],Wilfredo Bermudez,0,0,"dmvw35@hotmail.com

https://t.co/ptCZYpHYSA",-0.5993,24,False,['American ppl.&amp; Black American ppl.DONT TURN UR EYES TO WHAT PROVOCKE PROBLEMS BTWEEN POLICE. &amp; BLACK MEN: RESISTENT… https://t.co/Ic4qHW4Ojw'],-0.5319
11,looting,"@SuperDaveO1 @SoCalValleyGal @WCTV @KingJames @JJWatt Looting and destruction is not part of BLM. 

That's like thi… https://t.co/X7XLxtsg7m",-0.296,2020-06-16 03:00:09,1272725623249817601,[],JoeHeatles,0,0,,-0.296,20,False,['@JHeatles @SoCalValleyGal @WCTV @KingJames @JJWatt Are you kidding?  That is what they did in Ferguson and Baltimore...'],0.1027
12,looting,@GinoKusa @CalebJHull @NYCMayor It’s like they were throwing Molotov cocktails into cop cars and looting Best Buy!!!,0.8213,2020-06-16 02:59:17,1272725404537716737,[],janon1234 🇺🇸,0,0,The Resistance is the Establishment,0.8213,154,False,['@janon1234 @CalebJHull @NYCMayor And those people should be in jail too.'],0.0
0,to:MinneapolisPD,"@MinneapolisPD “...the importance of his life”...Don’t lie, you didn’t consider important his life and know you res… https://t.co/VKX1A4ED9g",0.5106,2020-06-15 20:51:30,1272632850593001476,[],Carlos Martinez,0,0,The Official Twitter of Carlos Martinez,0.5106,25,False,"['@MinneapolisPD Now your policemen want to kill themselves, and the entire country does not respect you. You just ne… https://t.co/C1FgysalJs', '@MinneapolisPD It took 4 officers to ruin you because you don’t pay attention to the details. You only focus on the… https://t.co/bmka2FoTLP']",-0.71235
1,to:MinneapolisPD,@MinneapolisPD I'm so proud of those cops resigned from the job. I am sure that they have thought it through and ar… https://t.co/sSH5O8vMh1,0.6476,2020-06-14 22:03:27,1272288568203980805,[],Warishell123,0,0,A patriot,0.6476,12,False,"['If you can get out, do so. Let the damn city burn.']",-0.4019
2,to:MinneapolisPD,@MinneapolisPD Thank you for the service of all of your officers. Perhaps someday Americans will realize that all o… https://t.co/HF87pZ9IGl,0.3612,2020-06-14 20:40:39,1272267730985668608,[],Taylor Baron,0,0,,0.3612,2,False,"['and I know the value of collective bargaining for benefits and wages. Where unions fail, and have failed America, i… https://t.co/G8leP1zuFu']",-0.4215
0,george floyd,"George Floyd's criminal history wasn't relevant to the circumstances as he was murdered, fully in custody.

Brooks'… https://t.co/pbLTY1U3RJ",-0.8316,2020-06-16 04:15:48,1272744660440453122,[],Cernovich,9,27,"Filmmaker (Hoaxed), Author (Gorilla Mindset), Journalist (broken too many stories to count), all around nice guy.",-0.8316,614538,True,['@Cernovich Where’s the body cam footage of the Floyd incident?'],0.0
1,george floyd,Barbra Streisand gifts George Floyd's daughter Disney shares. https://t.co/TYdzXpNBB3,0.296,2020-06-16 04:15:00,1272744460779208707,[],Fox12Oregon,0,1,"First, live and local news in Portland, Oregon and southwest Washington. Watch The 10 O'clock News every night on FOX 12.",0.296,240436,True,['@fox12oregon i mean okay'],0.2263
2,george floyd,"Pelosi Gifts George Floyd’s Brother Folded American Flag Reserved Only For Fallen Veterans

I wonder if Kate Steinl… https://t.co/kGzwLPuul6",-0.3612,2020-06-16 04:14:40,1272744375064223744,[],🌟🌟Rooster🌟🌟,11,10,"Trump Supporter....I ❤️ 🇺🇸 

Followed by👉@pam_sands....My Bestie❤️

Followed by👉 @Julietknows1....♥️❤️",-0.3612,91384,False,"['@no_silenced You have no idea how bad this one pisses me off. Every soldier, police officer or family member just got spat on.', '@no_silenced Or Ronil Singh, Bambi Larson, Jamiel Shaw, Marilyn Pharis.', '@no_silenced I thought the flag was meaningless and racist?', '@no_silenced Doesn’t that make you sick?']",-0.522875
3,george floyd,At least two callers and a dispatcher were concerned about Minneapolis police officers' use of force with George Fl… https://t.co/G3lyoMwzQa,0.0,2020-06-16 04:14:02,1272744217438236672,[],CNN,29,80,It’s our job to #GoThere & tell the most difficult stories. Join us! For more breaking news updates follow @CNNBRK & download our app https://t.co/UCHG9M367J,0.0,48616623,True,"['@CNN Now, you can release all the 911 calls that were called on George Floyd like the one where held a pregnant wom… https://t.co/nnTQOrzQO4', '@CNN 🎷', '@CNN ✌🏾\U0001f90e', '@CNN Put the choker in jail already and let’s move on', '@CNN https://t.co/0FmAvNwMF1', '@CNN Justice will always be achieved', '@CNN Lots of MAGA folk are saying he deserved it. \n\nF*** MAGA.', '@CNN The justice system needs to work for everybody not only the few and privileged', '@CNN When can we see the police body cams?', '@CNN https://t.co/xVKkVnF3y9', '@CNN Up next on NAT GEO WILD: Some species of Karen develop rare genetic abnormalities, here is an example of a Kar… https://t.co/PwpVfyOHJe']",0.19316363636363637
4,george floyd,Privileged white liberal kids trying to tear down statues has nothing to do with George Floyd or racial injustice.,-0.2023,2020-06-16 04:13:28,1272744073758203904,[],Tim Young,46,146,"Author, Host, Comedian, @Fox5DC Contributor | @WashTimes Columnist | @SiriusXMPatriot Personality | Founder #2020network

Contact: Tim@timyoung.com",-0.2023,267646,True,"['@TimRunsHisMouth One guy said why guard them it’s a rock, but I’m like why worry about a rock? Leftist logic is astonishing stupid.', '@TimRunsHisMouth Culture war', '@TimRunsHisMouth It has to do with disrespect of oneself.', '@TimRunsHisMouth If they are going to erase history then Obama’s statue needs to go too https://t.co/tGhzEmh6kZ', '@TimRunsHisMouth They want to erase history because democrats led the confederacy.', '@TimRunsHisMouth The snowflake generation strikes back.', '@TimRunsHisMouth When can I burn a Kap jersey', '@TimRunsHisMouth Has to do with educators.', ""@TimRunsHisMouth Not to mention tearing down or toppling statues you don't own is criminal damaging, i.e. a crime.… https://t.co/OIGj69oift"", '@TimRunsHisMouth #TrueStory', ""@TimRunsHisMouth It's almost funny when they fall on those trying to tear them down... I said almost funny."", '@TimRunsHisMouth *Taliban']",-0.12795833333333337
5,george floyd,A police dispatcher who was watching George Floyd's arrest in real time became so alarmed that she called a supervi… https://t.co/bGfv6bNaGC,-0.6722,2020-06-16 04:12:25,1272743809290506245,[],SkyNews,11,31,"We take you to the heart of the stories that shape our world. 

For breaking news, follow @SkyNewsBreak",-0.6722,6191379,True,"['@SkyNews It was a hit job, the cop and Floyde worked with each other for years at a club that was riddled with crime.', '@SkyNews #hellogeorge', '@SkyNews https://t.co/AbHXG2xUZm', '@SkyNews https://t.co/AKFSMIeJvZ']",-0.135575
6,george floyd,@jackiembouvier Calling these suicide is an offence of the level of the knee of George Floyd's neck and all the tim… https://t.co/GVWYgDEhOZ,-0.7717,2020-06-16 04:12:17,1272743775308152832,[],Beeg,0,0,,-0.7717,30,False,"[""@jackiembouvier But they're trying to prevent public rioting over the deaths by doing the exact thing that has caus… https://t.co/N29TrbWts9""]",0.0387
0,breonna taylor,@thatzonjah @dreayala_ @eastsidecovert @ChLl0ne @_jaytrent @barackolino @_tventura @byCRUZIN @nostalgicuItra… https://t.co/I9ppc0yTjM,0.0,2020-06-16 04:51:31,1272753648305688577,[],Rob,0,0,📍ATLANTA,0.0,991,False,['@_iam1rob @thatzonjah @dreayala_ @eastsidecovert @ChLl0ne @_jaytrent @barackolino @_tventura @byCRUZIN… https://t.co/V5WaPDD029'],0.0
1,breonna taylor,@dreayala_ @eastsidecovert @ChLl0ne @_jaytrent @barackolino @_tventura @byCRUZIN @nostalgicuItra @facebookstory… https://t.co/LiIX9DaJxu,0.0,2020-06-16 04:49:46,1272753208218095617,[],oh°Gí 🌴,0,0,"(Jah-leek) 

i stream💻/shoot📷/create🎶



whatsthedeal 🇬🇾🇵🇷🇵🇹🇮🇳",0.0,563,False,['@thatzonjah @dreayala_ @eastsidecovert @ChLl0ne @_jaytrent @barackolino @_tventura @byCRUZIN @nostalgicuItra… https://t.co/I9ppc0yTjM'],0.0
2,breonna taylor,"@kyrahcrossing @esmouri @Aira_Acnh @acnh_janelle @margorenji @acnhcheri Attorney General Cameron, I request justice… https://t.co/cicfV2jdOg",0.0,2020-06-16 04:49:23,1272753114337157120,[],bug 🐌 •GIVEAWAY PINNED•,0,1,"⚖️ libra🌲 22 🎃 animal crossing account 🍄 UK 🌕 i don’t have pronouns , please don’t refer to me 🍂",0.0,1122,False,['@bugbun_ @kyrahcrossing @esmouri @Aira_Acnh @acnh_janelle @margorenji @acnhcheri @acnh_steve @PhoenixPhireAC… https://t.co/0D4sp1pwsg'],0.0
3,breonna taylor,@paytoncancooke @CordovaIv @lauuren_flynn @JoshBittel @Tankx19 @gabbedini @Andrew_dc56 @taylormarquez14 Attorney Ge… https://t.co/VcbfNzj09A,0.0,2020-06-16 04:49:08,1272753051099557888,[],Gio,0,0,Following back gets you literally nothing but satisfaction,0.0,266,False,['@_GRodriguez__ @paytoncancooke @CordovaIv @lauuren_flynn @JoshBittel @Tankx19 @gabbedini @Andrew_dc56… https://t.co/kD6Xiiyd5z'],0.0
4,breonna taylor,@kailee_leanne @anna_arm1 @alamriiman_ @FoulFrankie @thatbitchmegara @xxpoisonapple @AngelinaMLopez @paulsalsabar… https://t.co/fLzmNzw3ub,0.0,2020-06-16 04:49:04,1272753032137080833,[],sim marie,0,3,beat the odds | do numbers | remain humble | Rene Marcus’ wifey 💍,0.0,1389,False,['@sim_mariee @kailee_leanne @anna_arm1 @alamriiman_ @FoulFrankie @thatbitchmegara @xxpoisonapple @AngelinaMLopez… https://t.co/vhUsc2YBsn'],0.0
5,breonna taylor,@ImIvetteColoma @InfinitJoel @sleepingvelez @eszabnozabdi @billionvelez @velezxsevilla @hbwcabello @bibianaram_… https://t.co/XLC7JN9XSO,0.0,2020-06-16 04:48:55,1272752995592216576,[],Fran🇩🇴,0,2,Team internacional🇻🇪🇩🇴🇲🇽🇳🇮,0.0,204,False,['@Joelito_Potato0 @ImIvetteColoma @InfinitJoel @sleepingvelez @eszabnozabdi @billionvelez @velezxsevilla @hbwcabello… https://t.co/ut3lI7VTfQ'],0.0
